Unit name,Unit name local script,Fuel type,Unit type,Country,"Subnational unit (province, state)",Latitude,Longitude,Location accuracy,Status,Status year,Discovery year,Production start year,Operator,Owner,Parent,Basin,Concession / block,Project or complex,GEM Unit ID,Government unit ID,Wiki URL
Matzen,,oil and gas,field,Austria,,48.4167,16.7167,approximate,operating,2014,1949,1951,OMV,,,,,,OG0000001,,https://www.gem.wiki/Matzen_Oil_and_Gas_Field_(Austria)
Aphrodite,,gas,field,Cyprus,,33.1847,33.3417,exact,discovered,2020,2011,2026 (expected),Noble Energy,Noble Energy [35%]; Royal Dutch Shell [35%]; Delek Drilling [30%],Chevron Corporation [35%]; Royal Dutch Shell [35%]; Delek Group [30%],,Block 12 of EEZ,,OG0000471,,https://www.gem.wiki/Aphrodite_Gas_Field
Calypso,,gas,field,Cyprus,,33.983,31.431,approximate,discovered,2019,2017,,Eni S.P.A.,Eni S.P.A. [50%]; TotalEnergies [50%],Eni S.P.A. [50%]; TotalEnergies [50%],,Block 6 of EEZ,,OG0000472,,https://www.gem.wiki/Calypso_Gas_Field
Glaucus,,gas,field,Cyprus,,33.276,31.702,approximate,discovered,2019,2019,,ExxonMobil,ExxonMobil [60%]; Qatar Petroleum [40%],ExxonMobil Corporation [60%]; Qatar Petroleum [40%],,Block 10 of EEZ,,OG0000473,,https://www.gem.wiki/Glaucus_Gas_Field
Dan,,oil and gas,field,Denmark,,55.4731,5.1025,exact,operating,2021,1971,1972,TotalEnergies,,,,,,OG0004893,,https://www.gem.wiki/Dan_Oil_and_Gas_Field_(Denmark)
Gorm,,oil and gas,field,Denmark,,55.5768,4.7592,exact,operating,2021,1971,1981,TotalEnergies,,,,,,OG0004895,,https://www.gem.wiki/Gorm_Oil_and_Gas_Field_(Denmark)
Halfdan,,oil and gas,field,Denmark,,55.566,5.079,exact,operating,2021,,1999,TotalEnergies,,,,,,OG0004896,,https://www.gem.wiki/Halfdan_Oil_and_Gas_Field_(Denmark)
Harald,,oil and gas,field,Denmark,,56.3348,4.2524,exact,operating,2020,1980,1997,TotalEnergies,,,,,,OG0004899,,https://www.gem.wiki/Harald_Oil_and_Gas_Field_(Denmark)
Roar,,oil and gas,field,Denmark,,55.7434,4.6501,exact,operating,2019,,1996,TotalEnergies,,,,,,OG0004910,,https://www.gem.wiki/Roar_Oil_and_Gas_Field_(Denmark)
Siri,,oil and gas,field,Denmark,,56.4941,4.9592,exact,operating,2021,,1999,INEOS,,,,,,OG0004912,,https://www.gem.wiki/Siri_Oil_and_Gas_Field_(Denmark)
