ProjectID,Fuel,StartCountry,EndCountry,Countries,Wiki,PipelineName,SegmentName,OtherNames,Parent,Status,StartYear1,StartYear2,StartYear3,StopYear,Capacity,CapacityUnits,CapacityBcm/y,LengthKnownKm,LengthEstimateKm,LengthMergedKm,Diameter,DiameterUnits,Source,StartLocation,StartPrefecture/District,StartState/Province,StartRegion,EndLocation,EndPrefecture/District,EndState/Province,EndRegion,FID,FIDYear,WKTFormat
P0439,Gas,Libya,Italy,"Libya, Italy",https://www.gem.wiki/Greenstream_Pipeline,Greenstream Gas Pipeline,,"Melita - Gela Sicily Pipeline, Melita TransGas",Eni S.p.A.; Libyan National Oil Corporation,Operating,2004,,,,1059,MMcf/d,10.95294918,520,522.4720338,520,32,in,,Mellitah Complex,,,Middle East and North Africa,Gela,,,Europe,,,"LINESTRING(12.113564 32.9141632, 12.1708807 33.0166786, 12.8600601 33.8126322, 13.2240632 34.739627, 13.5880664 35.0550965, 13.723961 35.3608592, 13.7917104 35.4443743, 13.7428771 35.8269024, 13.6940437 35.8675969, 13.6994696 36.0466527, 13.9463495 36.2284214, 13.9707662 36.2772547, 13.9951829 36.4535975, 14.0901367 36.6272273, 14.1016139 36.7782295, 14.1612543 36.977031, 14.2642696 37.0493225)"
P0453,Gas,Algeria,Spain,"Algeria, Morocco, Spain",https://www.gem.wiki/Maghreb-Europe_Gas_Pipeline,Maghreb-Europe Gas Pipeline,,Europe-Maghreb Pipeline (EMPL),Sonatrach; Government of Morocco; Enag�s; SaskEnergy,Operating,1996,,,,12,bcm/y,12,1620,1193.151832,1620,,,,Hassi R'Mel,,Laghouat,Middle East and North Africa,Cordoba,,Andaluc�a,Europe,,,"LINESTRING(3.2514804 32.9358193, -0.3197216 33.3306283, -1.6638716 34.1020293, -3.8063346 34.1247633, -4.0521966 34.0974733, -5.8496215 35.7601872, -6.0776305 36.2445712, -5.9403875 37.0291612, -5.0995865 37.5288812)"
P0457,Gas,Iran,Spain,"Iran, Turkey, Greece, Italy, Switzerland, Austria, Germany, France, Spain",https://www.gem.wiki/Persian_Gas_Pipeline,Persian Gas Pipeline,,"IGAT 9, Pars Pipeline, Iran�Europe pipeline, Iran�Turkey-Europe (ITE) pipeline",Ministry of Petroleum of Iran (100%),Cancelled,,,,,40,bcm/y,40,3300,7436.484603,3300,,,South Pars gas field,Asaluyeh,,,Middle East and North Africa,,,,Europe,,,"MULTILINESTRING((52.5921744 27.4730154, 44.3716275 39.3906982, 27.1488015 41.3715122, 23.0728305 41.0243171, 20.2932465 39.4985911, 12.4489655 41.8315641, 8.7245575 44.9597971, 8.2081575 46.9454352, 14.3384855 47.4530251, 8.7464015 50.1301282), (8.7245575 44.9597971, 2.9514455 46.1739351, -4.4973275 39.5144232))"
P0458,Gas,Qatar,Bulgaria,"Qatar, Saudi Arabia, Jordan, Syria, Turkey, Bulgaria",https://www.gem.wiki/Qatar-Turkey_Gas_Pipeline,Qatar-Turkey Gas Pipeline,,,--,Cancelled,,,,,,,--,--,3075.298724,3075.298724,,,South Pars/North Dome field,,,,Middle East and North Africa,"Nabucco pipeline, Ahiboz",,,Europe,,,"LINESTRING(51.1990013 24.9785004, 38.1141014 32.2424011, 37.3937988 37.4838982, 27.2201004 41.4664993)"
P0459,Gas,Iran,Turkey,"Iran, Turkey",https://www.gem.wiki/Tabriz-Ankara_Pipeline,Tabriz-Ankara Gas Pipeline,,Iran-Turkey Gas pipeline,Iranian Ministry of Petroleum; BOTA?,Operating,2001,,,,14,bcm/y,14,2577,1202.481013,2577,"40, 46",in,,Tabriz,,,Middle East and North Africa,Ankara,,,Europe,,,"LINESTRING(46.2864625 38.0689321, 41.2566045 39.9076631, 32.8165825 39.9346332)"
P0463,Gas,Nigeria,Spain,"Nigeria, Benin, Togo, Ghana, C�te d'Ivoire, Liberia, Sierra Leone, Guinea, Guinea-Bissau, The Gambia, Senegal, Mauritania, Morocco, Spain",https://www.gem.wiki/Nigeria-Morocco_Gas_Pipeline,Nigeria-Morocco Gas Pipeline,,"Atlantic Gas Pipeline, Coastal Gas Pipeline",Nigerian National Petroleum Corporation; Moroccan National Board of Hydrocarbons and Mines,Proposed,2046,,,,,,--,5660,8704.37995,5660,,,Warri,Lagos,,,Sub-Saharan Africa,Tangiers,,,Europe,,,"MULTILINESTRING((-6.2764995 36.5825802, -7.7733435 36.7544192, -7.6184565 36.1002892, -15.8427586 28.4567624, -18.4355746 21.1230877, -19.0771116 18.6021578, -18.6227606 14.7564571, -18.5008326 13.4565761, -17.2033676 10.8361743, -15.2851746 8.8228254, -14.4068046 7.5101085, -11.7745006 4.6700817, -4.0005956 3.4427198, -1.1826466 3.8703138, 0.3523534 4.0377167, 0.9771144 4.1062068, 1.3203944 4.3253387, 2.8415444 4.4912197, 2.9991544 4.3000677), (0.3523534 4.0377167, -0.0215196 5.6605546), (1.3203944 4.3253387, 1.2078384 6.1611406), (2.8415444 4.4912197, 2.4017534 6.3613786), (2.9991544 4.3000677, 3.3665154 6.4687975), (-4.0005956 3.4427198, -4.0335976 5.3486287), (-11.7745006 4.6700817, -10.7912676 6.2885736), (-14.4068046 7.5101085, -12.9786256 8.6847804), (-15.2851746 8.8228254, -13.6008026 9.6336664), (-17.2033676 10.8361743, -15.2379796 11.2243723), (-18.5008326 13.4565761, -16.6057346 13.4672601), (-18.6227606 14.7564571, -17.4884656 14.729895), (-19.0771116 18.6021578, -15.8515886 18.1016359), (-7.6184565 36.1002892, -5.8579405 35.7711602))"
P0473,Gas,Cyprus,Egypt,"Cyprus, Egypt",https://www.gem.wiki/Cyprus-Egypt_gas_pipeline,Cyprus-Egypt Gas Pipeline,,,Shell plc (35%); Noble Energy (35%); Delek Group (30%),Proposed,2024,,,,8,bcm/y,8,--,214.5766096,214.5766096,,,,Aphrodite offshore gas field,,,Europe,Damietta Segas LNG Terminal,,Damietta,Middle East and North Africa,Pre-FID,,"LINESTRING(32.9833 33.0944, 31.7473 31.469)"
P0479,Gas,Israel,Cyprus,"Israel, Cyprus",https://www.gem.wiki/Israel_Cyprus_Gas_Pipeline,Israel Cyprus Gas Pipeline,,,Energean E&P Holdings Limited (100%),Proposed,2022,,,,1,bcm/y,1,215,212.840017,215,12,in,Karish and Tanin Gas Fields,,,,Middle East and North Africa,Energean Power FPSO,Vassiliko,,Europe,Pre-FID,,"LINESTRING(34.29286 33.226556, 34.1631357 33.270569, 33.6743530 33.504536, 33.1902034 34.398708, 33.2180014 34.746183)"
P0681,Gas,Romania,Hungary,"Romania, Hungary",https://www.gem.wiki/Arad%E2%80%93Szeged_Gas_Pipeline,Arad-Szeged Gas Pipeline,,,MOL Group; Government of Romania,Operating,2010,,,,4.5,bcm/y,4.5,109,90.048823,109,,,,Arad,,,Europe,Szeged,,,Europe,,,"LINESTRING(21.2956695 46.1853991, 20.1332065 46.2578691)"
P0682,Gas,Netherlands,United Kingdom,"Netherlands, United Kingdom",https://www.gem.wiki/Balgzand_Bacton_Line_(BBL)_Gas_Pipeline,Balgzand�Bacton Line Gas Pipeline,,BBL,N.V. Nederlandse Gasunie (60%); Uniper (20%); Fluxys BBL B.V (20%),Operating,2006,,,,16,bcm/y,16,231.8,229.3479441,231.8,,,,Anna Paulowna,,North Holland,Europe,Bacton Gas Terminal,,Norfolk,Europe,,,"LINESTRING(4.702058 52.880837, 4.672357 52.881558, 4.657569 52.882393, 4.642944 52.88395, 4.628586 52.886259, 4.614646 52.889361, 4.601274 52.893273, 4.588376 52.897768, 4.548446 52.909775, 4.482156 52.93012, 4.442122 52.942038, 4.362435 52.966386, 4.348883 52.970089, 4.334488 52.972352, 4.319844 52.973976, 4.217218 52.98502, 4.129167 52.994255, 4.114526 52.995927, 4.026442 53.005133, 4.011705 53.006427, 3.99681 53.006591, 3.773494 53.001017, 3.550236 52.994958, 3.5056 52.993631, 3.490946 52.992086, 3.290185 52.958184, 3.189942 52.941048, 3.175713 52.938418, 3.147022 52.933674, 3.061161 52.918956, 2.832543 52.879284, 2.718413 52.859231, 2.704106 52.856832, 2.689898 52.854204, 2.604367 52.839129, 2.590844 52.835462, 2.579057 52.830023, 2.569453 52.823193, 2.562623 52.815232, 2.557599 52.806777, 2.551066 52.798723, 2.541673 52.791788, 2.530121 52.786174, 2.516726 52.782354, 2.502371 52.78013, 2.270341 52.75054, 2.255572 52.750053, 2.107433 52.750044, 2.092792 52.751307, 2.078837 52.754268, 2.066113 52.758836, 2.055159 52.764869, 2.017097 52.79244, 2.006349 52.798615, 1.993808 52.80339, 1.979961 52.806588, 1.965392 52.808276, 1.848455 52.820584, 1.614386 52.844798, 1.600017 52.846987, 1.515949 52.864856, 1.507528 52.866267, 1.501442 52.866543, 1.494068 52.866081, 1.486993 52.864741, 1.469581 52.859366)"
P0683,Gas,Germany,Denmark,"Germany, Sweden, Denmark",https://www.gem.wiki/Baltic_Gas_Interconnector,Baltic Gas Interconnector,,,�rsted; Hovedstadsregionens Naturgas; EnBW; E.ON; G�teborgs Stadshus AB; Lunds Energi; Helsingborg Energi Holding,Cancelled,,,,,,,--,--,178.5990783,178.5990783,,,,Rostock,,Mecklenburg-Vorpommern,Europe,Trelleborg,,Scania,Europe,,,"LINESTRING(12.0906885 54.0969064, 12.5465785 55.6795944)"
P0684,Gas,Norway,Poland,"Norway, Denmark, Sweden, Poland",https://www.gem.wiki/Baltic_Pipe_Project,Baltic Pipe Project,,Poland Denmark Interconnection Gas Pipeline,Energinet; Gaz-System,Construction,2022,,,,10,bcm/y,10,612.5,612.642406,612.5,,,Europipe II Gas Pipeline,,,,Europe,Ploty,,,Europe,FID,,"MULTILINESTRING((15.2599 53.8, 15.2664 53.805, 15.0706 54.089, 15.0367 54.397, 14.9982 54.536, 14.9923 54.654, 14.9893 54.788, 15.0012 54.898, 14.9568 54.959, 14.8532 55, 14.6876 55.026, 14.5219 55.032, 14.3071 55.074, 13.9342 55.122, 13.7104 55.141, 13.5026 55.15, 13.1296 55.165, 12.8792 55.162, 12.8206 55.156, 12.482 55.206, 12.326 55.187, 12.119 55.189, 11.8521 55.247, 11.7621 55.244, 11.6631 55.259, 11.5131 55.302, 11.4051 55.356, 11.2102 55.389), (10.7951 55.287, 10.7444 55.305, 10.6836 55.31, 10.6472 55.31, 10.6046 55.308, 10.5681 55.324, 10.5418 55.326, 10.5357 55.329, 10.5236 55.347, 10.5175 55.363, 10.5033 55.37, 10.4688 55.374, 10.4688 55.355, 10.4405 55.331, 10.3756 55.337, 10.3189 55.343, 10.2763 55.398, 10.0291 55.462, 9.796 55.515, 9.7264 55.537, 9.6652 55.557, 9.5555 55.592, 9.4838 55.599, 9.4501 55.604, 9.3108 55.617), (8.4073 55.745, 8.1789 55.777, 6.5195 55.712, 6.5038 55.71))"
P0685,Gas,Finland,Estonia,"Finland, Estonia",https://www.gem.wiki/Balticconnector_Gas_Pipeline,Balticconnector Gas Pipeline,,,Elering; Baltic Connector Oy,Operating,2020,,,,7.2,bcm/y,7.2,155,132.7486072,155,,,,Siuntio,,Southern Finland,Europe,Kiili,,Harju,Europe,,,"LINESTRING(24.83 59.31, 24.766 59.3071, 24.66 59.3121, 24.556 59.3178, 24.453 59.3203, 24.348 59.3235, 24.246 59.3489, 24.193 59.4912, 24.171 59.5354, 24.152 59.5834, 24.125 59.6334, 24.068 59.6872, 24.048 59.7795, 24.05 59.8237, 24.102 59.8679, 24.066 59.9179, 24 59.9598, 23.969 60.0235, 24.23 60.138)"
