TerminalID,ProjectID,ComboID,Wiki,Name,Facility,Country,Status,OtherNames,Parent,StartYear1,StartYear2,StartYear3,StopYear,Capacity,CapacityUnits,CapacityInMtpa,Region,Location,Prefecture/District,State/Province,Latitude,Longitude,Accuracy,FID,FIDYear,Floating
T0424,0,T042400,https://www.gem.wiki/Eagle_FLNG_Terminal,Eagle FLNG Terminal,Import,Albania,Cancelled,,Gruppo Falcone,,,,,8.1,mtpa,8.1,Europe,Levan,Fier,,40.683333,19.483333,approximate,,,yes
T0426,0,T042600,https://www.gem.wiki/Fluxys_Zeebrugge_LNG_Terminal,Zeebrugge LNG Terminal,Import,Belgium,Operating,,Fluxys (100%),1987,2018,,,6.6,mtpa,6.6,Europe,Zeebrugge,Bruges,West Flanders,51.353,3.22241,exact,,,
T0426,1,T042601,https://www.gem.wiki/Fluxys_Zeebrugge_LNG_Terminal,"Zeebrugge LNG Terminal, 2024 Expansion",Import,Belgium,Proposed,,Fluxys (100%),2024,,,,4.7,mtpa,4.7,Europe,Zeebrugge,Bruges,West Flanders,51.353,3.22241,exact,FID,2021,
T0426,2,T042602,https://www.gem.wiki/Fluxys_Zeebrugge_LNG_Terminal,"Zeebrugge LNG Terminal, 2026 Expansion",Import,Belgium,Proposed,,Fluxys (100%),2026,,,,1.3,mtpa,1.3,Europe,Zeebrugge,Bruges,West Flanders,51.353,3.22241,exact,FID,2021,
T0428,0,T042800,https://www.gem.wiki/Adria_LNG_Terminal,Adria LNG Terminal,Import,Croatia,Cancelled,,E.ON; OMV; Total S.A.; RWE AG; Geoplin,,,,,7,mtpa,7,Europe,"Omi�alj, Krk Island",,Primorje-Gorski Kotar,45.211944,14.554167,approximate,,,
T0430,0,T043000,https://www.gem.wiki/Hrvatska_LNG_Terminal,Krk LNG Terminal,Import,Croatia,Operating,"Hrvatska LNG Terminal, LNG Croatia",HEP Grupa (85%); Plinacro (15%),2021,,,,2,mtpa,2,Europe,"Omi�alj, Krk Island",,Primorje-Gorski Kotar,45.188543,14.545081,approximate,FID,,yes
T0430,1,T043001,https://www.gem.wiki/Hrvatska_LNG_Terminal,Krk LNG Terminal Phase 2,Import,Croatia,Proposed,"Hrvatska LNG Terminal, LNG Croatia",HEP Grupa (85%); Plinacro (15%),2027,,,,3.2,mtpa,3.2,Europe,"Omi�alj, Krk Island",,Primorje-Gorski Kotar,45.188543,14.545081,approximate,Pre-FID,,yes
T0432,0,T043200,https://www.gem.wiki/Cyprus_LNG_Terminal,Cyprus LNG Terminal (Import),Import,Cyprus,|,"Vassiliko FSRU Terminal, Gas2EU Project Terminal, CyprusGas2EU",DEFA (100%),2023,,,,0.6,mtpa,0.6,Europe,Vasilikos,,,34.712094,33.301556,approximate,Pre-FID,,yes
T0432,1,T043201,https://www.gem.wiki/Cyprus_LNG_Terminal,Cyprus LNG Terminal (Export) T1,Export,Cyprus,Cancelled,"Vassiliko FSRU Terminal, Gas2EU Project Terminal, CyprusGas2EU",DEFA (100%),2021,,,,0.63,mtpa,0.63,Europe,Vasilikos,,,34.712094,33.301556,approximate,Pre-FID,,
T0432,2,T043202,https://www.gem.wiki/Cyprus_LNG_Terminal,Cyprus LNG Terminal (Export) T2,Export,Cyprus,Cancelled,"Vassiliko FSRU Terminal, Gas2EU Project Terminal, CyprusGas2EU",DEFA (100%),2021,,,,0.63,mtpa,0.63,Europe,Vasilikos,,,34.712094,33.301556,approximate,Pre-FID,,
T0432,3,T043203,https://www.gem.wiki/Cyprus_LNG_Terminal,Cyprus LNG Terminal (Export) T3,Export,Cyprus,Cancelled,"Vassiliko FSRU Terminal, Gas2EU Project Terminal, CyprusGas2EU",DEFA (100%),2021,,,,0.63,mtpa,0.63,Europe,Vasilikos,,,34.712094,33.301556,approximate,Pre-FID,,
T0432,4,T043204,https://www.gem.wiki/Cyprus_LNG_Terminal,Cyprus LNG Terminal (Export) T4,Export,Cyprus,Cancelled,"Vassiliko FSRU Terminal, Gas2EU Project Terminal, CyprusGas2EU",DEFA (100%),2021,,,,0.63,mtpa,0.63,Europe,Vasilikos,,,34.712094,33.301556,approximate,Pre-FID,,
T0432,5,T043205,https://www.gem.wiki/Cyprus_LNG_Terminal,Cyprus LNG Terminal (Export) T5,Export,Cyprus,Cancelled,"Vassiliko FSRU Terminal, Gas2EU Project Terminal, CyprusGas2EU",DEFA (100%),2021,,,,0.63,mtpa,0.63,Europe,Vasilikos,,,34.712094,33.301556,approximate,Pre-FID,,
T0432,6,T043206,https://www.gem.wiki/Cyprus_LNG_Terminal,Cyprus LNG Terminal (Export) T6,Export,Cyprus,Cancelled,"Vassiliko FSRU Terminal, Gas2EU Project Terminal, CyprusGas2EU",DEFA (100%),2021,,,,0.63,mtpa,0.63,Europe,Vasilikos,,,34.712094,33.301556,approximate,Pre-FID,,
