FID,owfid,country,lat,lon,p_name_4c,o_name_4c,capacity4c,yearmonth
0,120001,China,"39° 26' 39.234"" N","123° 9' 41.184"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2015/2/1
1,120002,China,"39° 27' 30.696"" N","123° 9' 53.741"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2015/2/1
2,120003,China,"39° 26' 39.109"" N","123° 10' 2.216"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2015/2/1
3,120004,China,"39° 28' 22.462"" N","123° 10' 6.353"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2015/2/1
4,120005,China,"39° 29' 13.705"" N","123° 10' 19.036"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2015/10/1
5,120006,China,"39° 27' 30.827"" N","123° 10' 19.746"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/8/1
6,120007,China,"39° 26' 39.154"" N","123° 10' 23.108"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2017/8/1
7,120008,China,"39° 30' 5.694"" N","123° 10' 31.447"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/10/1
8,120009,China,"39° 30' 56.051"" N","123° 10' 31.870"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/7/1
9,120010,China,"39° 28' 22.586"" N","123° 10' 41.718"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/9/1
10,120011,China,"39° 26' 39.305"" N","123° 10' 44.055"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/10/1
11,120012,China,"39° 27' 30.951"" N","123° 10' 45.729"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/2/1
12,120013,China,"39° 29' 14.230"" N","123° 10' 48.328"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/8/1
13,120014,China,"39° 30' 55.310"" N","123° 10' 54.163"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/4/1
14,120015,China,"39° 30' 5.729"" N","123° 11' 3.275"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2017/10/1
15,120016,China,"39° 26' 39.190"" N","123° 11' 5.060"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/9/1
16,120017,China,"39° 27' 30.694"" N","123° 11' 11.809"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/6/1
17,120018,China,"39° 28' 22.484"" N","123° 11' 17.104"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/4/1
18,120019,China,"39° 29' 14.095"" N","123° 11' 17.693"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/6/1
19,120020,China,"39° 30' 56.492"" N","123° 11' 17.757"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/2/1
20,120021,China,"39° 26' 39.246"" N","123° 11' 26.086"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/5/1
21,120022,China,"39° 27' 30.903"" N","123° 11' 37.831"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2017/3/1
22,120023,China,"39° 29' 14.093"" N","123° 11' 47.018"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2016/4/1
23,120024,China,"39° 26' 39.202"" N","123° 11' 47.034"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/9/1
24,120025,China,"39° 28' 22.484"" N","123° 11' 52.448"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/12/1
25,120026,China,"39° 27' 30.756"" N","123° 12' 3.819"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/8/1
26,120027,China,"39° 30' 56.003"" N","123° 12' 4.171"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/9/1
27,120028,China,"39° 30' 5.752"" N","123° 12' 6.952"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/9/1
28,120029,China,"39° 26' 39.206"" N","123° 12' 8.040"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/9/1
29,120030,China,"39° 30' 32.214"" N","123° 12' 13.800"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/9/1
30,120031,China,"39° 29' 14.224"" N","123° 12' 16.374"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/12/1
31,120032,China,"39° 30' 55.505"" N","123° 12' 27.284"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/1/1
32,120033,China,"39° 28' 22.487"" N","123° 12' 27.784"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/9/1
33,120034,China,"39° 26' 39.176"" N","123° 12' 29.012"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/8/1
34,120035,China,"39° 27' 30.857"" N","123° 12' 29.794"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/2/1
35,120036,China,"39° 29' 14.140"" N","123° 12' 45.784"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/10/1
